
0.000001,0.000002,0.000000|6720682.000000,46241.996094,0.000000|6929701.000000,44999.996094,0.000000|-6929701.000000,-44999.988281,0.000000|44999.996094,6929701.000000,0.000000|-44999.988281,-6929701.000000,0.000000|-2334528634880.000000,-3735246340096.000000,-466905792512.000000|-1417100787712.000000,-5797230673920.000000,-1674755571712.000000|
0.000001,0.000003,0.000001|6720046.500000,92481.789062,0.000000|6929103.000000,89998.039062,0.000000|-6929103.000000,-89998.023438,0.000000|89998.039062,6929103.000000,0.000000|-89998.023438,-6929103.000000,0.000000|-4669055696896.000000,-7470490058752.000000,-933811257344.000000|-2834200788992.000000,-11594458202112.000000,-3349509832704.000000|
0.000002,0.000005,0.000001|6719093.000000,138717.187500,0.000000|6928206.000000,134992.187500,0.000000|-6928206.000000,-134992.171875,0.000000|134992.187500,6928206.000000,0.000000|-134992.156250,-6928206.000000,0.000000|-7003581710336.000000,-11205731155968.000000,-1400716394496.000000|-4251300397056.000000,-17391683633152.000000,-5024262389760.000000|
0.000003,0.000006,0.000001|6717822.000000,184946.015625,0.000000|6927010.500000,179980.500000,0.000000|-6927010.500000,-179980.484375,0.000000|179980.500000,6927010.500000,0.000000|-179980.468750,-6927010.500000,0.000000|-9338106150912.000000,-14940969631744.000000,-1867621203968.000000|-5668398956544.000000,-23188905918464.000000,-6699013898240.000000|
0.000003,0.000008,0.000002|6716233.000000,231166.078125,0.000000|6925516.000000,224961.031250,0.000000|-6925516.000000,-224961.015625,0.000000|224961.031250,6925516.000000,0.000000|-224961.000000,-6925516.000000,0.000000|-11672629542912.000000,-18676206010368.000000,-2334525751296.000000|-7085496991744.000000,-28986124009472.000000,-8373763833856.000000|
0.000004,0.000010,0.000002|6714326.500000,277375.187500,0.000000|6923723.000000,269931.843750,0.000000|-6923723.000000,-269931.843750,0.000000|269931.843750,6923723.000000,0.000000|-269931.812500,-6923723.000000,0.000000|-14007150837760.000000,-22411439243264.000000,-2801429905408.000000|-8502594502656.000000,-34783340003328.000000,-10048512196608.000000|
0.000004,0.000011,0.000003|6712102.500000,323571.156250,0.000000|6921631.000000,314891.000000,0.000000|-6921631.000000,-314891.000000,0.000000|314891.000000,6921631.000000,0.000000|-314890.968750,-6921631.000000,0.000000|-16341671084032.000000,-26146670379008.000000,-3268333797376.000000|-9919691489280.000000,-40580553900032.000000,-11723258986496.000000|
0.000005,0.000013,0.000003|6709561.000000,369751.812500,0.000000|6919240.500000,359836.562500,0.000000|-6919240.500000,-359836.562500,0.000000|359836.562500,6919240.500000,0.000000|-359836.531250,-6919240.500000,0.000000|-18676189233152.000000,-29881899417600.000000,-3735237427200.000000|-11336787427328.000000,-46377765699584.000000,-13398004727808.000000|
0.000006,0.000014,0.000003|6706702.000000,415914.968750,0.000000|6916551.500000,404766.562500,0.000000|-6916551.500000,-404766.593750,0.000000|404766.562500,6916551.500000,0.000000|-404766.562500,-6916551.500000,0.000000|-21010705285120.000000,-33617126359040.000000,-4202140794880.000000|-12753883365376.000000,-52174973304832.000000,-15072749420544.000000|
0.000006,0.000016,0.000004|6703526.000000,462058.437500,0.000000|6913564.000000,449679.093750,0.000000|-6913564.000000,-449679.156250,0.000000|449679.093750,6913564.000000,0.000000|-449679.125000,-6913564.000000,0.000000|-23345221337088.000000,-37352349106176.000000,-4669043638272.000000|-14170978254848.000000,-57972176715776.000000,-16747492016128.000000|
